السنة,الربع,المنطقة,النشاط الاقتصادي,حجم المنشأة,عدد المنشآت,عدد العاملين السعوديين,عدد السعوديين (ذكور),عدد السعوديين (إناث),عدد العاملين الغير سعوديين,عدد الغير سعوديين (ذكور),عدد الغير سعوديين (إناث),Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
2023,2,المنطقة الشرقية,غير معرف,متناهية الصغر,7966.0,1322.0,651.0,671.0,14367.0,14247.0,120.0,,,,,,,,,,
2023,2,المنطقة الشرقية,غير معرف,صغيرة,230.0,490.0,256.0,234.0,2051.0,2005.0,46.0,,"اخلاء مسؤولية:
 - تمت معالجة البيانات بأقصى قدر من الجهد والحرص لضمان جودتها. ومع ذلك، تحتفظ منشآت بالحق في إجراء اي تغييرات على البيانات دون إشعار مسبق حيث أنها تخضع للتغييرات التي تحدث على مصدر البيانات الرئيسي ""المؤسسة العامة للتأمينات الاجتماعية"".
- ""منشآت"" غير مسؤولة عن أي ضرر أو سوء استخدام تتعرض له الجهات نتيجة استخدام هذه البيانات المنشورة بالبوابة الإلكترونية لـ""منشآت""، كما أن ""منشآت"" لا تضمن استمرارية توافر هذه البيانات أو جزء منها، كما لا تتحمل ""منشآت"" أي مسؤولية تجاه مستخدمي هذه البيانات، وما قد يقع عليهم من ضرر أو خسارة بسبب إعادة استخدامها.",,,,,,,,
2023,2,المنطقة الشرقية,غير معرف,متوسطة,1.0,1.0,1.0,0.0,160.0,160.0,0.0,,,,,,,,,,
2023,2,المنطقة الشرقية,غير معرف,كبيرة,1.0,0.0,0.0,0.0,305.0,241.0,64.0,,,,,,,,,,
2023,2,منطقة الباحة,غير معرف,متناهية الصغر,891.0,117.0,81.0,36.0,1428.0,1414.0,14.0,,,,,,,,,,
2023,2,منطقة الباحة,غير معرف,صغيرة,20.0,26.0,19.0,7.0,180.0,180.0,0.0,,,,,,,,,,
2023,2,منطقة الباحة,غير معرف,متوسطة,1.0,0.0,0.0,0.0,53.0,52.0,1.0,,,,,,,,,,
2023,2,منطقة الجوف,غير معرف,متناهية الصغر,1737.0,127.0,78.0,49.0,2949.0,2912.0,37.0,,,,,,,,,,
2023,2,منطقة الجوف,غير معرف,صغيرة,17.0,24.0,11.0,13.0,157.0,157.0,0.0,,,,,,,,,,
2023,2,منطقة الحدود الشمالية,غير معرف,متناهية الصغر,806.0,88.0,43.0,45.0,1446.0,1437.0,9.0,,,,,,,,,,
2023,2,منطقة الحدود الشمالية,غير معرف,صغيرة,17.0,43.0,12.0,31.0,107.0,107.0,0.0,,,,,,,,,,
2023,2,منطقة الرياض,غير معرف,متناهية الصغر,93889.0,7585.0,3600.0,3985.0,214871.0,212661.0,2210.0,,,,,,,,,,
2023,2,منطقة الرياض,غير معرف,صغيرة,1291.0,2445.0,872.0,1573.0,10910.0,10738.0,172.0,,,,,,,,,,
2023,2,منطقة الرياض,غير معرف,متوسطة,38.0,507.0,250.0,257.0,3333.0,3264.0,69.0,,,,,,,,,,
2023,2,منطقة الرياض,غير معرف,كبيرة,6.0,1687.0,1103.0,584.0,1363.0,978.0,385.0,,,,,,,,,,
2023,2,منطقة القصيم,غير معرف,متناهية الصغر,3805.0,419.0,227.0,192.0,7540.0,7480.0,60.0,,,,,,,,,,
2023,2,منطقة القصيم,غير معرف,صغيرة,91.0,109.0,49.0,60.0,941.0,934.0,7.0,,,,,,,,,,
2023,2,منطقة القصيم,غير معرف,متوسطة,12.0,32.0,20.0,12.0,1110.0,1101.0,9.0,,,,,,,,,,
2023,2,منطقة المدينة المنورة,غير معرف,متناهية الصغر,5529.0,639.0,365.0,274.0,9579.0,9382.0,197.0,,,,,,,,,,
2023,2,منطقة المدينة المنورة,غير معرف,صغيرة,99.0,216.0,108.0,108.0,764.0,760.0,4.0,,,,,,,,,,
2023,2,منطقة المدينة المنورة,غير معرف,متوسطة,1.0,0.0,0.0,0.0,56.0,56.0,0.0,,,,,,,,,,
2023,2,منطقة تبوك,غير معرف,متناهية الصغر,2172.0,244.0,130.0,114.0,3689.0,3657.0,32.0,,,,,,,,,,
2023,2,منطقة تبوك,غير معرف,صغيرة,37.0,65.0,36.0,29.0,316.0,310.0,6.0,,,,,,,,,,
2023,2,منطقة تبوك,غير معرف,متوسطة,1.0,26.0,5.0,21.0,81.0,42.0,39.0,,,,,,,,,,
2023,2,منطقة جازان,غير معرف,متناهية الصغر,4204.0,364.0,192.0,172.0,7604.0,7526.0,78.0,,,,,,,,,,
2023,2,منطقة جازان,غير معرف,صغيرة,54.0,92.0,37.0,55.0,423.0,412.0,11.0,,,,,,,,,,
2023,2,منطقة جازان,غير معرف,متوسطة,2.0,15.0,11.0,4.0,172.0,172.0,0.0,,,,,,,,,,
2023,2,منطقة حائل,غير معرف,متناهية الصغر,4257.0,289.0,147.0,142.0,8947.0,8898.0,49.0,,,,,,,,,,
2023,2,منطقة حائل,غير معرف,صغيرة,44.0,85.0,50.0,35.0,410.0,407.0,3.0,,,,,,,,,,
2023,2,منطقة حائل,غير معرف,متوسطة,2.0,11.0,6.0,5.0,157.0,101.0,56.0,,,,,,,,,,
2023,2,منطقة عسير,غير معرف,متناهية الصغر,6160.0,733.0,442.0,291.0,9571.0,9511.0,60.0,,,,,,,,,,
2023,2,منطقة عسير,غير معرف,صغيرة,113.0,241.0,139.0,102.0,778.0,769.0,9.0,,,,,,,,,,
2023,2,منطقة عسير,غير معرف,متوسطة,2.0,0.0,0.0,0.0,222.0,222.0,0.0,,,,,,,,,,
2023,2,منطقة عسير,غير معرف,كبيرة,1.0,25.0,16.0,9.0,232.0,232.0,0.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,غير معرف,متناهية الصغر,17960.0,2213.0,1145.0,1068.0,31444.0,30440.0,1004.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,غير معرف,صغيرة,438.0,906.0,464.0,442.0,3489.0,3413.0,76.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,غير معرف,متوسطة,8.0,219.0,130.0,89.0,606.0,601.0,5.0,,,,,,,,,,
2023,2,منطقة نجران,غير معرف,متناهية الصغر,3453.0,236.0,108.0,128.0,7261.0,7206.0,55.0,,,,,,,,,,
2023,2,منطقة نجران,غير معرف,صغيرة,42.0,56.0,30.0,26.0,397.0,397.0,0.0,,,,,,,,,,
2023,2,منطقة نجران,غير معرف,متوسطة,1.0,0.0,0.0,0.0,54.0,53.0,1.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,متناهية الصغر,72.0,38.0,20.0,18.0,109.0,109.0,0.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,صغيرة,16.0,206.0,152.0,54.0,127.0,124.0,3.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,متوسطة,1.0,30.0,29.0,1.0,31.0,31.0,0.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,كبيرة,2.0,796.0,627.0,169.0,224.0,219.0,5.0,,,,,,,,,,
2023,2,منطقة الباحة,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,متناهية الصغر,8.0,0.0,0.0,0.0,20.0,20.0,0.0,,,,,,,,,,
2023,2,منطقة الباحة,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,صغيرة,1.0,8.0,4.0,4.0,1.0,1.0,0.0,,,,,,,,,,
2023,2,منطقة الجوف,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,متناهية الصغر,7.0,1.0,0.0,1.0,16.0,15.0,1.0,,,,,,,,,,
2023,2,منطقة الحدود الشمالية,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,متناهية الصغر,3.0,0.0,0.0,0.0,10.0,10.0,0.0,,,,,,,,,,
2023,2,منطقة الرياض,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,متناهية الصغر,189.0,84.0,38.0,46.0,300.0,289.0,11.0,,,,,,,,,,
2023,2,منطقة الرياض,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,صغيرة,37.0,319.0,163.0,156.0,310.0,273.0,37.0,,,,,,,,,,
2023,2,منطقة الرياض,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,متوسطة,3.0,281.0,227.0,54.0,72.0,67.0,5.0,,,,,,,,,,
2023,2,منطقة الرياض,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,كبيرة,2.0,1229.0,793.0,436.0,182.0,170.0,12.0,,,,,,,,,,
2023,2,منطقة القصيم,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,متناهية الصغر,21.0,3.0,3.0,0.0,53.0,51.0,2.0,,,,,,,,,,
2023,2,منطقة القصيم,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,صغيرة,3.0,62.0,24.0,38.0,32.0,27.0,5.0,,,,,,,,,,
2023,2,منطقة المدينة المنورة,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,متناهية الصغر,29.0,9.0,5.0,4.0,64.0,63.0,1.0,,,,,,,,,,
2023,2,منطقة المدينة المنورة,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,صغيرة,3.0,21.0,17.0,4.0,11.0,11.0,0.0,,,,,,,,,,
2023,2,منطقة تبوك,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,متناهية الصغر,10.0,1.0,0.0,1.0,27.0,27.0,0.0,,,,,,,,,,
2023,2,منطقة تبوك,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,صغيرة,2.0,45.0,16.0,29.0,17.0,16.0,1.0,,,,,,,,,,
2023,2,منطقة جازان,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,متناهية الصغر,34.0,3.0,2.0,1.0,100.0,100.0,0.0,,,,,,,,,,
2023,2,منطقة جازان,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,صغيرة,1.0,2.0,0.0,2.0,4.0,1.0,3.0,,,,,,,,,,
2023,2,منطقة حائل,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,متناهية الصغر,9.0,6.0,5.0,1.0,15.0,15.0,0.0,,,,,,,,,,
2023,2,منطقة عسير,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,متناهية الصغر,19.0,2.0,1.0,1.0,49.0,49.0,0.0,,,,,,,,,,
2023,2,منطقة عسير,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,صغيرة,2.0,4.0,1.0,3.0,11.0,11.0,0.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,متناهية الصغر,196.0,78.0,48.0,30.0,342.0,333.0,9.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,صغيرة,26.0,233.0,134.0,99.0,180.0,177.0,3.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,متوسطة,2.0,326.0,173.0,153.0,96.0,91.0,5.0,,,,,,,,,,
2023,2,منطقة نجران,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,متناهية الصغر,14.0,2.0,1.0,1.0,29.0,29.0,0.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الأنشطة العقارية,متناهية الصغر,741.0,516.0,317.0,199.0,1136.0,1124.0,12.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الأنشطة العقارية,صغيرة,204.0,1242.0,769.0,473.0,1596.0,1576.0,20.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الأنشطة العقارية,متوسطة,15.0,971.0,636.0,335.0,706.0,687.0,19.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الأنشطة العقارية,كبيرة,1.0,39.0,27.0,12.0,212.0,212.0,0.0,,,,,,,,,,
2023,2,منطقة الباحة,الأنشطة العقارية,متناهية الصغر,32.0,13.0,7.0,6.0,58.0,58.0,0.0,,,,,,,,,,
2023,2,منطقة الباحة,الأنشطة العقارية,صغيرة,3.0,16.0,15.0,1.0,23.0,23.0,0.0,,,,,,,,,,
2023,2,منطقة الجوف,الأنشطة العقارية,متناهية الصغر,52.0,29.0,17.0,12.0,76.0,74.0,2.0,,,,,,,,,,
2023,2,منطقة الجوف,الأنشطة العقارية,صغيرة,6.0,31.0,21.0,10.0,48.0,48.0,0.0,,,,,,,,,,
2023,2,منطقة الحدود الشمالية,الأنشطة العقارية,متناهية الصغر,40.0,10.0,6.0,4.0,78.0,75.0,3.0,,,,,,,,,,
2023,2,منطقة الحدود الشمالية,الأنشطة العقارية,صغيرة,3.0,14.0,11.0,3.0,28.0,28.0,0.0,,,,,,,,,,
2023,2,منطقة الرياض,الأنشطة العقارية,متناهية الصغر,2350.0,1898.0,1163.0,735.0,3250.0,3196.0,54.0,,,,,,,,,,
2023,2,منطقة الرياض,الأنشطة العقارية,صغيرة,740.0,4742.0,2820.0,1922.0,6079.0,5937.0,142.0,,,,,,,,,,
2023,2,منطقة الرياض,الأنشطة العقارية,متوسطة,63.0,3338.0,2396.0,942.0,2857.0,2792.0,65.0,,,,,,,,,,
2023,2,منطقة الرياض,الأنشطة العقارية,كبيرة,10.0,3143.0,2116.0,1027.0,2248.0,2189.0,59.0,,,,,,,,,,
2023,2,منطقة القصيم,الأنشطة العقارية,متناهية الصغر,206.0,120.0,75.0,45.0,304.0,299.0,5.0,,,,,,,,,,
2023,2,منطقة القصيم,الأنشطة العقارية,صغيرة,28.0,170.0,104.0,66.0,210.0,207.0,3.0,,,,,,,,,,
2023,2,منطقة القصيم,الأنشطة العقارية,متوسطة,6.0,197.0,94.0,103.0,595.0,595.0,0.0,,,,,,,,,,
2023,2,منطقة القصيم,الأنشطة العقارية,كبيرة,1.0,52.0,28.0,24.0,218.0,218.0,0.0,,,,,,,,,,
2023,2,منطقة المدينة المنورة,الأنشطة العقارية,متناهية الصغر,303.0,131.0,77.0,54.0,508.0,499.0,9.0,,,,,,,,,,
2023,2,منطقة المدينة المنورة,الأنشطة العقارية,صغيرة,46.0,218.0,146.0,72.0,369.0,369.0,0.0,,,,,,,,,,
2023,2,منطقة المدينة المنورة,الأنشطة العقارية,متوسطة,3.0,105.0,81.0,24.0,189.0,185.0,4.0,,,,,,,,,,
2023,2,منطقة تبوك,الأنشطة العقارية,متناهية الصغر,131.0,45.0,27.0,18.0,210.0,210.0,0.0,,,,,,,,,,
2023,2,منطقة تبوك,الأنشطة العقارية,صغيرة,9.0,45.0,37.0,8.0,98.0,97.0,1.0,,,,,,,,,,
2023,2,منطقة جازان,الأنشطة العقارية,متناهية الصغر,169.0,57.0,32.0,25.0,287.0,285.0,2.0,,,,,,,,,,
2023,2,منطقة جازان,الأنشطة العقارية,صغيرة,16.0,38.0,17.0,21.0,146.0,144.0,2.0,,,,,,,,,,
2023,2,منطقة جازان,الأنشطة العقارية,متوسطة,1.0,22.0,11.0,11.0,30.0,30.0,0.0,,,,,,,,,,
2023,2,منطقة حائل,الأنشطة العقارية,متناهية الصغر,94.0,39.0,22.0,17.0,153.0,153.0,0.0,,,,,,,,,,
2023,2,منطقة حائل,الأنشطة العقارية,صغيرة,7.0,44.0,34.0,10.0,54.0,54.0,0.0,,,,,,,,,,
